Battle,Date,belligerent,own,pos,VorD,Infantry,Cavalry,Artillery,Ships,Airforce,Special
Battle_of_Narva_(1700),"19 November 1700 (O.S.)
20 November 1700 (Swedish calendar)
30 November 1700 (N.S.)",Otto Vellingk,"Narva garrison:   1,800 men,   297 artillery pieces   Relief force:   10,500 men,   37 cannons[a]",L,V,,,,,,
Battle_of_Narvik,9-Apr-40,Per Askim,2 coastal defence ships,L,D,,,,,,
Battle_of_Naseby,14 June 1645,"Marmaduke Langdale, 1st Baron Langdale of Holme","7,400:   4,100 horse   3,300 foot [1]",R,D,,,,,,
Battle_of_Naseby,14 June 1645,Henry Ireton,"14,000:   6,000 horse   7,000 foot   1,000 dragoons   11 guns",L,V,,,,,,
Battle_of_Nashville,"December 15–16, 1864",John Bell Hood,"30,000[2]",R,D,,,,,,
Battle_of_Nashville,"December 15–16, 1864",George Henry Thomas,"55,000[2]",L,V,,,,,,
Battle_of_Navarino,20 October 1827,Ibrahim Pasha of Egypt,Ottomans:   3 ships of the line   17 frigates   ca. 58 smaller warships   5-6 fireships,R,D,,,,,,
Battle_of_Navarino,20 October 1827,Edward Codrington,Allies:   10 ships of the line   10 frigates   2 smaller warships,L,V,,,,,,
Battle_of_Neerwinden_(1793),18 March 1793,Charles François Dumouriez,"40,000–47,000",R,D,,,,,,
Battle_of_Neerwinden_(1793),18 March 1793,Prince Josias of Saxe-Coburg-Saalfeld,"39,000–43,000",L,V,,,,,,
Battle_of_Negapatam_(1782),6 July 1782,Edward Hughes (Royal Navy officer),11 ships of the line,L,I,,,,,,
Battle_of_Negapatam_(1782),6 July 1782,Pierre André de Suffren,11 ships of the line,R,I,,,,,,
Battle_of_Neretva,20 January – March 1943,Vicko Krstulović,"Unknown   (about 20,000 men)",R,I,,,,,,
Battle_of_Neretva,20 January – March 1943,Pavle Đurišić,"90,000 men   12,000–15,000 Chetniks   12 air squadrons",L,I,,,,,,
Battle_of_Neuwied_(1797),18 April 1797,Lazare Hoche,"35,000[2] to 38,000[3]",L,V,,,,,,
Battle_of_New_Bern,"March 14, 1862 (1862-03-14)",Lawrence O'Bryan Branch,"6 infantry regiments (4,000)   1 cavalry regiment",R,D,,,,,,
Battle_of_New_Bern,"March 14, 1862 (1862-03-14)",Ambrose Burnside,"13 infantry regiments (11,000)   14 gunboats",L,V,,,,,,
Battle_of_New_Georgia,20 June – 7 October 1943,Jinichi Kusaka,"10,500",R,D,,,,,,
Battle_of_New_Market,"May 15, 1864 (1864-05-15)",Franz Sigel,"6,275[1]",L,D,,,,,,
Battle_of_New_Market,"May 15, 1864 (1864-05-15)",John C. Breckinridge,"4,087[2]",R,V,,,,,,
Battle_of_New_Orleans,"January 6–18, 1815",William Carroll (Tennessee politician),"4,732",L,V,,,,,,
Battle_of_New_Orleans,"January 6–18, 1815",William Thornton (British Army officer),"14,450[4]",R,D,,,,,,
Battle_of_Newtown,"August 29, 1779",Walter Butler (Loyalist),"15 regulars (from the   8th Regiment of Foot)   200-250 militia (known as   Butler's Rangers)   1,000 Iroquois",R,D,,,,,,
Battle_of_Newtown,"August 29, 1779",John Sullivan (general),"3,200 Continental regulars   two companies of militia   10 brass field pieces",L,V,,,,,,
Battle_of_Nezib,24 June 1839,Hafiz Osman Pasha,"≈30,000-80,000[4]",R,D,,,,,,
Battle_of_Nezib,24 June 1839,Ibrahim Pasha of Egypt,"≈30,000-46,000[4]",L,V,,,,,,
Battle_of_Nikopol,16 July 1877,Nikolay Kridener,"Russian IX Corps(20,000)",L,V,,,,,,
Battle_of_North_Anna,"May 23 (1864-05-23)–26, 1864 (1864-05-27)",Robert E. Lee,"50–53,000[2]",R,I,,,,,,
Battle_of_North_Anna,"May 23 (1864-05-23)–26, 1864 (1864-05-27)",Ulysses S. Grant,"67–100,000[2]",L,I,,,,,,
Battle_of_North_Borneo,10 June – 15 August 1945,Victor Windeyer,"≈29,000–30,000 men",L,V,,,,,,
Battle_of_North_Borneo,10 June – 15 August 1945,Masao Baba,"≈8,800 men (Allied estimate)",R,D,,,,,,
Battle_of_North_Cape,26-Dec-43,"Bruce Fraser, 1st Baron Fraser of North Cape",1 battleship   1 heavy cruiser   3 light cruisers   9 destroyers,R,V,,,,,,
Battle_of_North_Cape,26-Dec-43,Erich Bey,1 battleship,L,D,,,,,,
Battle_of_North_Point,"September 12, 1814",John Stricker,"3,200 [3]",L,D,,,,,,
Battle_of_North_Point,"September 12, 1814",Arthur Brooke (British Army officer),"4,000 [3]",R,V,,,,,,
Battle_of_Novara_(1849),22–23 March 1849,Wojciech Chrzanowski,"45,000 infantry   2,500 cavalry   109 guns[1]",L,D,,,,,,
Battle_of_Novara_(1849),22–23 March 1849,Joseph Radetzky von Radetz,"70,000 infantry   5,000 cavalry   141 guns[2]",R,V,,,,,,
Battle_of_Novi_(1799),15 August 1799,Barthélemy Catherine Joubert,"34,930 to 37,252",R,D,,,,,,
Battle_of_Novi_(1799),15 August 1799,Michael von Melas,"51,547",L,V,,,,,,
Battle_of_Novšiće,4 December 1879,Jakup Ferri,"10,000-15,000",R,V,,,,,,
Battle_of_Nowy_Dwór_Mazowiecki,"September 20–30, 1655",Jan Kazimierz Krasiński,"7,000 cavalry   1,000 infantry   7 cannons",R,D,,,,,,
Battle_of_Nowy_Dwór_Mazowiecki,"September 20–30, 1655",Gustaf Otto Stenbock,"~1,500 cavalry   6,500 infantry   60 cannons",L,V,,,,,,
Battle_of_Nördlingen_(1634),5–6 September 1634,"Gustav Horn, Count of Pori","16,300 infantry and 9,300 cavalry (62 guns)",L,D,,,,,,
Battle_of_Nördlingen_(1634),5–6 September 1634,"Ferdinand III, Holy Roman Emperor","21,000 infantry and 13,000 cavalry (32 guns)",R,V,,,,,,
Battle_of_Nördlingen_(1645),"August 3, 1645","Henri de la Tour d'Auvergne, Vicomte de Turenne","12,000-19,000",L,V,,,,,,
Battle_of_Nördlingen_(1645),"August 3, 1645",Franz von Mercy,"12,000-16,000",R,D,,,,,,
Battle_of_Oak_Grove,"June 25, 1862 (1862-06-25)",Samuel P. Heintzelman,3 Brigades,L,V,,,,,,
Battle_of_Ocaña,19 November 1809,Jean-de-Dieu Soult,"24,000 Infantry, 5,000 Cavalry[1]",L,V,,,,,,
Battle_of_Ocaña,19 November 1809,Juan Carlos de Aréizaga,"45,000 Infantry, 7,000 Cavalry[1]",R,D,,,,,,
Battle_of_Ochmatów_(1644),30 January 1644,Tugay Bey,"under 20,000",R,D,,,,,,
Battle_of_Ochmatów_(1644),30 January 1644,Stanisław Koniecpolski,"19,130",L,V,,,,,,
Battle_of_Ogdensburg,"February 22, 1813",Benjamin Forsyth,about 250,R,D,,,,,,
Battle_of_Okinawa,"April 1 – June 22, 1945[1]",Roy Geiger,"541,000 in Tenth Army   183,000 combat troops[2] rising to c. 250,000[3]",L,V,,,,,,
Battle_of_Okinawa,"April 1 – June 22, 1945[1]",Mitsuru Ushijima,"86,000 Japanese soldiers,   20,000 Okinawan conscripts[4]",R,D,,,,,,
Battle_of_Old_Church,"May 30, 1864",Matthew Butler,"2,000 (1 brigade)[1]",R,D,,,,,,
Battle_of_Oliwa,"November 28, 1627",Arend Dickmann,10 ships with 179 guns,L,V,,,,,,
Battle_of_Olszynka_Grochowska,25 February 1831,Jan Krukowiecki,"36,000-40,000[1] men, 115 cannon",L,I,,,,,,
Battle_of_Olszynka_Grochowska,25 February 1831,Grigoriy Vladimirovich Rosen,"60,000 men,[1] 178 cannon",R,I,,,,,,
Battle_of_Oltenitza,4 November 1853,Omar Pasha,"8,000[2]",L,V,,,,,,
Battle_of_Olustee,"February 20, 1864 (1864-02-20)",Truman Seymour,"5,500",L,D,,,,,,
Battle_of_Omdurman,2 September 1898,Abdallahi ibn Muhammad,"52,000 warriors",R,D,,,,,,
Battle_of_Omdurman,2 September 1898,"Herbert Kitchener, 1st Earl Kitchener","8,200 British,   17,600 Sudanese and Egyptian soldiers",L,V,,,,,,
Battle_of_Oravais,14 September 1808,Nikolay Kamensky,"6,000, of which 5,000 engaged[1]",R,V,,,,,,
Battle_of_Oravais,14 September 1808,Carl Johan Adlercreutz,"5,500 men",L,D,,,,,,
Battle_of_Oriskany,"August 6, 1777",John Butler (pioneer),"500 regulars, militia and Indians [6]",R,V,,,,,,
Battle_of_Oriskany,"August 6, 1777",Nicholas Herkimer,720-740 militia   60-100 Indians [5],L,D,,,,,,
Battle_of_Orthez,27 February 1814,"Arthur Wellesley, 1st Duke of Wellington","44,000, 54 guns",L,V,,,,,,
Battle_of_Orthez,27 February 1814,Jean-de-Dieu Soult,"36,000, 48 guns",R,D,,,,,,
Battle_of_Ostrovno,25 July 1812,Étienne Marie Antoine Champion de Nansouty,1 infantry division plus 2 battalions   32 squadrons,R,V,,,,,,
Battle_of_Ostrovno,25 July 1812,Alexander Ivanovich Ostermann-Tolstoy,2 infantry divisions   cavalry   66 guns,L,D,,,,,,
Battle_of_Ostrołęka_(1831),26 May 1831,Jan Zygmunt Skrzynecki,"48,467, 138 cannons[1]",L,D,,,,,,
Battle_of_Ostrołęka_(1831),26 May 1831,Pyotr Petrovich Palen,"53,262, 245 cannons[2]",R,V,,,,,,
Battle_of_Paardeberg,18–27 February 1900,Christiaan de Wet,"7,000 men",R,D,,,,,,
Battle_of_Paducah,"March 25, 1864 (1864-03-25)",James Shirk,650 men   2 gunboats,L,D,,,,,,
Battle_of_Paete,"April 12, 1899",Henry Ware Lawton,Land:   ~220 infantry   Sea:   1 gunboat,L,V,,,,,,
Battle_of_Pagsanjan,"April 11, 1899",Henry Ware Lawton,140 soldiers,L,V,,,,,,
Battle_of_Paju,31-Jan-19,Julius Kuperjanov,683 men,L,V,,,,,,
Battle_of_Paju,31-Jan-19,Emīls Vītols,"1,200 men",R,D,,,,,,
Battle_of_Palestro,30 May 1859,Victor Emmanuel II of Italy,"c. 21,000",L,V,,,,,,
Battle_of_Palestro,30 May 1859,Friedrich Zobel,"c. 14,000",R,D,,,,,,
Battle_of_Palo_Alto,"May 8, 1846",Mariano Arista,"3,709[1]:57 and 12 artillery pieces",R,D,,,,,,
Battle_of_Palo_Alto,"May 8, 1846",Zachary Taylor,"2,288[1]:57 and 8 artillery pieces",L,V,,,,,,
Battle_of_Palo_Duro_Canyon,"September 28, 1874",Ranald S. Mackenzie,400 cavalry,L,V,,,,,,
Battle_of_Palo_Duro_Canyon,"September 28, 1874",Guipago,1500 warriors,R,D,,,,,,
Battle_of_Pancorbo_(1808),31 October 1808,Joaquín Blake,"19,000   6 guns",R,I,,,,,,
Battle_of_Pancorbo_(1808),31 October 1808,François Joseph Lefebvre,"24,000   36 guns",L,I,,,,,,
Battle_of_Papudo,"November 26, 1865",Juan Williams Rebolledo,1 corvette      18 guns,R,V,,,,,,
Battle_of_Papudo,"November 26, 1865",Luis Fery,1 schooner      3 guns,L,D,,,,,,
Battle_of_Paraguarí,"January 19, 1811",Bernardo de Velasco,"4,600 soldiers[1]:11",R,V,,,,,,
Battle_of_Paraguarí,"January 19, 1811",Manuel Belgrano,"1,000 soldiers[1]:11",L,D,,,,,,
Battle_of_Passchendaele,"31 July – 10 November 1917
(3 months and 6 days)","Rupprecht, Crown Prince of Bavaria","2,310,000-2,490,000 in 77–83 divisions",R,D,,,,,,
Battle_of_Passchendaele,"31 July – 10 November 1917
(3 months and 6 days)",Louis Ruquoy,"1,500,000 in 50 divisions    180,000 in 6 divisions",L,V,,,,,,
Battle_of_Pea_Ridge,"March 7–8, 1862",Samuel Ryan Curtis,"10,500[1]",L,V,,,,,,
Battle_of_Pea_Ridge,"March 7–8, 1862",Earl Van Dorn,"16,500[2]",R,D,,,,,,
Battle_of_Peachtree_Creek,"July 20, 1864 (1864-07-20)",George Henry Thomas,"21,655 [1]",L,V,,,,,,
Battle_of_Peachtree_Creek,"July 20, 1864 (1864-07-20)",John Bell Hood,"20,250 [1]",R,D,,,,,,
Battle_of_Peebles'_Farm,"September 30, 1864 (1864-09-30) – October 2, 1864 (1864-10-02)",Gouverneur K. Warren,"29,800 [1]",L,V,,,,,,
Battle_of_Peleliu,15 September – 27 November 1944,Herman H. Hanneken,"47,561[1]:36",L,V,,,,,,
Battle_of_Peleliu,15 September – 27 November 1944,Kunio Nakagawa,"10,900[1]:37   17 tanks[2]",R,D,,,,,,
Battle_of_Pell's_Point,"October 18, 1776",John Glover (general),750[1],L,V,,,,,,
Battle_of_Penang,28-Oct-14,Karl von Müller,1 light cruiser,R,V,,,,,,
Battle_of_Pensacola_(1781),"March 9–May 8, 1781",Bernardo de Gálvez,"7,400 regulars and militia[1]   10,000 sailors & marines   21 ships[2]",L,V,,,,,,
Battle_of_Pensacola_(1781),"March 9–May 8, 1781","John Campbell, of Strachur","1,300 militia, natives & regulars[2]   500 Indians[3]",R,D,,,,,,
Battle_of_Pensacola_(1814),"November 7–9, 1814",Mateo González Manrique,"British:   100 infantry from Royal Marines, Red Sticks and Royal Marine Artillery[1][2]   Unknown artillery   1 fort   1 coastal battery   Spanish:   500 infantry   Unknown artillery   1 fort   Creek:   Unknown warriors",R,D,,,,,,
Battle_of_Pensacola_(1814),"November 7–9, 1814",Andrew Jackson,"4,000 infantry",L,V,,,,,,
Battle_of_Pente_Pigadia,21–23 October 1912 (O.S.),Mehmet Esat Bülkat,"14,000 men   32 guns",R,D,,,,,,
Battle_of_Pente_Pigadia,21–23 October 1912 (O.S.),Konstantinos Sapountzakis,"8,000 men   24 guns",L,V,,,,,,
Battle_of_Perryville,"October 8, 1862 (1862-10-08)",Don Carlos Buell,"55,000[3]   (22,000 engaged)[4]",L,V,,,,,,
Battle_of_Petersburg_III,"April 2, 1865 (1865-04-02)",A. P. Hill,"40–45,000   18–20,000 (engaged)[notes 2]",R,D,,,,,,
Battle_of_Petersburg_III,"April 2, 1865 (1865-04-02)",Ulysses S. Grant,"114,335[2]   ∼ 63,000 (engaged)[notes 1]",L,V,,,,,,
Battle_of_Petrovaradin,"August 5, 1716","Infante Manuel, Count of Ourém","60,000[4]-91,300 (41,000 Austrian, ca. 42,000 Hungarian and Croatian border soldiers[5] ca. 8,000 Serbian garrison troops[6])",L,V,,,,,,
Battle_of_Petrovaradin,"August 5, 1716",Silahdar Damat Ali Pasha,"150,000[4]   1,000 Kuruc cavalry.",R,D,,,,,,
Battle_of_Petsamo_(1939),"November 30, 1939 to March 12, 1940",Antti Pennanen,Three companies,L,D,,,,,,
Battle_of_Petsamo_(1939),"November 30, 1939 to March 12, 1940",Kirill Meretskov,Two divisions,R,V,,,,,,
Battle_of_Phaleron,24 April (6 May) 1827,Reşid Mehmed Pasha,Unknown (some cavalry),R,V,,,,,,
Battle_of_Philiphaugh,13 September 1645,"James Graham, 1st Marquess of Montrose",100 horse   600 musketeers   100 levies,L,D,,,,,,
Battle_of_Philiphaugh,13 September 1645,"David Leslie, 1st Lord Newark",6000 horse and dragoons   1000 foot,R,V,,,,,,
Battle_of_Philippine_Sea,"June 19–20, 1944",Marc Mitscher,129 warships:   7 fleet carriers   8 light fleet carriers   7 battleships   8 heavy cruisers   13 light cruisers   58 destroyers   28 submarines         956 carrier aircraft,L,V,,,,,,
Battle_of_Philippine_Sea,"June 19–20, 1944",Jisaburō Ozawa,90 warships:   5 fleet carriers   4 light carriers   5 battleships   13 heavy cruisers   6 light cruisers   27 destroyers   24 submarines   6 oilers      ~450 carrier aircraft   ~300 land-based aircraft,R,D,,,,,,
Battle_of_Phillora,7–11 September 1965,Ardeshir Tarapore,"1st Armoured Brigade(16 cav,17 Horse, 4 Horse)62 cav   43 lorried Brigade[6]",L,V,,,,,,
Battle_of_Piacenza,16 June 1746,"Jean Thierry du Mont, comte de Gages","25,000 Spanish,   15,000 French[3]",L,D,,,,,,
Battle_of_Piacenza,16 June 1746,Maximilian Ulysses Browne,"45,000[3]",R,V,,,,,,
Battle_of_Pichincha,24 May 1822,Antonio José de Sucre,"2,971 men",L,V,,,,,,
Battle_of_Pichincha,24 May 1822,Melchior Aymerich,"1,894 men",R,D,,,,,,
Battle_of_Piedmont,"June 5, 1864 (1864-06-05)",William E. Jones,"5,500 [1]",R,D,,,,,,
Battle_of_Piedmont,"June 5, 1864 (1864-06-05)",David Hunter,"8,500 [1]",L,V,,,,,,
Battle_of_Pine_Bluff,"October 25, 1863",Brigadier general,"2,000 cavalry,   12 guns",R,,,,,,,
Battle_of_Pine_Bluff,"October 25, 1863",Powell Clayton,"550 cavalry and militia,   300 freedmen,   9 guns",L,V,,,,,,
Battle_of_Pingxingguan,Evening of 24 September – noon of 25 September 1937,Seishirō Itagaki,"15,000 troops (5th Division), however only certain supply troops and the 3rd Battalion of the 21st Regiment were involved in the actual ambush",R,D,,,,,,
Battle_of_Pingxingguan,Evening of 24 September – noon of 25 September 1937,Zhu De,"6,000 troops of the 115th Division",L,V,,,,,,
Battle_of_Pirot,26–27 November 1885[a],Danail Nikolaev,"42,000   80 guns",L,V,,,,,,
Battle_of_Pirot,26–27 November 1885[a],Milan I of Serbia,"65,000   84 guns",R,D,,,,,,
Battle_of_Pisagua,"November 2, 1879",Erasmo Escala,"Available: ~8,890   In Pisagua: 4,890-5,000",L,V,,,,,,
Battle_of_Pisagua,"November 2, 1879",Juan Buendía,"1,141 (924 bolivian and 217 peruvian)",R,D,,,,,,
Battle_of_Plains_Store,"May 21, 1863 (1863-05-21)",Christopher C. Augur,1 division of infantry   1 brigade of cavalry,L,V,,,,,,
Battle_of_Plassey,23 June 1757,Robert Clive,"750 English European soldiers   100 Topasses   2,100 Indian sepoys   100 gunners   50 sailors   8 cannon (six 6-pounders and 2 howitzers)   defectors:   15,000 cavalry of Mir Jafar   35,000 infantry",L,V,,,,,,
Battle_of_Plassey,23 June 1757,Mir Jafar,"Mughal Empire:   7,000 infantry   5,000 cavalry of Siraj ud-Daulah   35,000 infantry (defected)   15,000 cavalry of Mir Jafar (defected)   53 field pieces (mostly 32, 24 and 18-pounders)      France:   50 artillerymen (6 field pieces)",R,D,,,,,,
Battle_of_Pleasant_Hill,"April 9, 1864 (1864-04-09)",Richard Taylor (general),"12,100[1]",R,V,,,,,,
Battle_of_Plymouth,16 August 1652,Maarten Tromp,31 warships and 60 merchant ships,L,V,,,,,,
Battle_of_Plymouth,16 August 1652,George Ayscue,38 ships,R,D,,,,,,
Battle_of_Point_Pleasant,"October 10, 1774",Blue Jacket,300–500,L,V,,,,,,
Battle_of_Poison_Spring,"April 18, 1864",Samuel B. Maxey,"1,800 cavalry",L,V,,,,,,
Battle_of_Poison_Spring,"April 18, 1864",James Monroe Williams,824 infantry   291 cavalry   4 guns,R,D,,,,,,
Battle_of_Poljana,"May 14–15, 1945",Kosta Nađ,Elements of the 11th Dalmatian Assault Brigade,R,D,,,,,,
Battle_of_Pollilur,10 September 1780,Tipu Sultan,"2,000–3,000 cavalry & rocket-men[3]",R,V,,,,,,
Battle_of_Pollilur,10 September 1780,William Baillie (East India Company officer),"4,000[1] to 7,000[2]",L,D,,,,,,
Battle_of_Polonka,"June 29, 1660",Paweł Jan Sapieha,"9,000 Lithuanians   4,000 Poles   2 cannons[1]:186",L,V,,,,,,
Battle_of_Polonka,"June 29, 1660",Ivan Andreyevich Khovansky,"8,000 - 9,000 troops[2]",R,D,,,,,,
Battle_of_Poltava,"27 June 1709 (O.S.)
28 June 1709 (Swedish calendar)
8 July 1709 (N.S.)",Alexander Danilovich Menshikov,"Russian combined army:   52,100 Russian regulars     (ca 33,500 infantry       ca 18,600 cavalry)[1]   23,000 irregulars[1]     (Cossacks and Kalmyks,      3,000 Kalmyks arrived      at the end of the battle)   102 artillery pieces      Total: ca 75,000[1]      Participated in battle:   24,500 infantry   14,600 dragoons[1]   3,000 Kalmyks[2]   86 cannons      Total: ca 42,000      Garrison of Poltava:   4,200 infantry   2,000 Cossacks   28 cannons",R,V,,,,,,
Battle_of_Poltava,"27 June 1709 (O.S.)
28 June 1709 (Swedish calendar)
8 July 1709 (N.S.)",Ivan Mazepa,"Swedish combined army:   24,000 Swedish regulars     (ca 13,000 cavalry       ca 11,000 infantry)[1][a]   ca 6,000 irregulars     1,000 Polish vlach cavalry       3,000–7,000     Cossacks[b][2]   34 artillery pieces      Total: up to 30,000[3][4][c]      Participated in battle:   8,700 infantry[1]   7,800 cavalry[1]   4 cannons         Total: ca 16,500      Besieging Poltava:   1,100 infantry   200 cavalry",L,D,,,,,,
Battle_of_Pork_Chop_Hill,March – July 1953,Peng Dehuai,"2 divisions (20,000)",R,D,,,,,,
Battle_of_Pork_Chop_Hill,March – July 1953,Arthur Trudeau,"1 division (19,000)",L,V,,,,,,
Battle_of_Port_Arthur,8–9 February 1904,Tōgō Heihachirō,"6 pre-dreadnought battleships   9 armored cruisers, with escorts",L,I,,,,,,
Battle_of_Port_Arthur,8–9 February 1904,Oskar Viktorovich Stark,"7 pre-dreadnought battleships   5 protected cruisers, with escorts",R,I,,,,,,
Battle_of_Port_Gibson,"May 1, 1863",John S. Bowen,4 brigades,R,D,,,,,,
Battle_of_Port_Gibson,"May 1, 1863",Ulysses S. Grant,2 corps,L,V,,,,,,
Battle_of_Port_Republic,"June 9, 1862 (1862-06-09)",Erastus B. Tyler,"3,500 [1]",L,D,,,,,,
Battle_of_Port_Republic,"June 9, 1862 (1862-06-09)",Stonewall Jackson,"6,000 [1]",R,V,,,,,,
Battle_of_Port_Walthall_Junction,"May 6–7, 1864",Johnson Hagood (governor),"2,600[1]",R,D,,,,,,
Battle_of_Portland,18-20 February 1653 Julian calendar[a][b],Maarten Tromp,70-80 warships,L,D,,,,,,
Battle_of_Portland,18-20 February 1653 Julian calendar[a][b],Robert Blake (admiral),70-80 warships,R,V,,,,,,
Battle_of_Porto_Praya,16 April 1781,Pierre André de Suffren,5 ships of the line,R,I,,,,,,
Battle_of_Porto_Praya,16 April 1781,George Johnstone (Royal Navy officer),5 ships of the line,L,I,,,,,,
Battle_of_Pozières,23 July – 3 September 1916,Hubert Gough,12 divisions,L,V,,,,,,
Battle_of_Pozières,23 July – 3 September 1916,Max von Boehn (general),12 divisions,R,D,,,,,,
Battle_of_Pozzolo,25 December 1800,Guillaume Brune,"66,000",L,V,,,,,,
Battle_of_Praga,4 November 1794,Alexander Suvorov,"17,000 men (assaulting)   104 cannons",R,V,,,,,,
Battle_of_Praga,4 November 1794,Józef Zajączek,"14,000 regulars, 3,200 militia   Less than 90 cannons",L,D,,,,,,
Battle_of_Prague_(1648),25 July – 1 November 1648,Charles X Gustav of Sweden,cca 7500 soldiers (unconfirmed) plus 6000 reinforcements led by Charles X Gustav of Sweden,L,I,,,,,,
Battle_of_Prague_(1648),25 July – 1 November 1648,Rudolf von Colloredo,"cca 2000 soldiers, plus local militia and Academic Legion",R,I,,,,,,
Battle_of_Prague_(1757),6 May 1757,Prince Charles Alexander of Lorraine,"60 infantry battalions   20 cavalry squadrons   59 guns – total 60,000[1]",R,D,,,,,,
Battle_of_Prague_(1757),6 May 1757,Frederick the Great,"66 infantry battalions   113 cavalry squadrons   82 guns – total 67,000[1]",L,V,,,,,,
Battle_of_Prairie_Grove,"December 7, 1862",Thomas C. Hindman,"11,059 engaged",R,D,,,,,,
Battle_of_Prairie_Grove,"December 7, 1862",Francis J. Herron,"9,216 engaged",L,V,,,,,,
Battle_of_Preston_(1648),17–19 August 1648,"James Livingston, 1st Earl of Callendar","11,000, not all were engaged in the battle.[1]",R,D,,,,,,
