,Battle,Date,Location,Result,belligerent,opp,own,pos,Infantry,Cavalry,Artillery,Ships,Airforce,Special,VorD
909,Battle of Bitter Lakes,925 BC,Bitter Lakes,Egyptian victory,Shoshenq I,Unknown,Unknown,L,,,,,,,V
910,Siege of Gezer (c.733 BC),10th century BCE (biblical account),"Gezer, Israel","Egypt takes Gezer, Egyptian victory",Siamun,Unknown,Unknown,L,,,,,,,V
911,Battle of Susa,647 BC,"Mesopotamia, Elam",Decisive Assyrian victory; total destruction of Susa,Ashurbanipal,Unknown,Unknown,L,,,,,,,V
913,Battle of Chengpu,632 BC,"vicinity of Chenliu, Henan or the southwest of Juancheng County, Shandong",Decisive Jin victory,Cheng Dechen,"700 chariots (Jin),other parts unknown.",Unknown,R,,,,,,,D
917,Battle of Megiddo (609 BC),June or July 609 BC,"Megiddo
32°35′N 35°11′E﻿ / ﻿32.583°N 35.183°E﻿ / 32.583; 35.183Coordinates: 32°35′N 35°11′E﻿ / ﻿32.583°N 35.183°E﻿ / 32.583; 35.183","Decisive Egyptian Victory

Judah becomes a vassal state of the Twenty-sixth Dynasty of Egypt",Necho II,Unknown,Unknown,L,,,,,,,V
918,Battle of Megiddo (609 BC),June or July 609 BC,"Megiddo
32°35′N 35°11′E﻿ / ﻿32.583°N 35.183°E﻿ / 32.583; 35.183Coordinates: 32°35′N 35°11′E﻿ / ﻿32.583°N 35.183°E﻿ / 32.583; 35.183","Decisive Egyptian Victory

Judah becomes a vassal state of the Twenty-sixth Dynasty of Egypt",Josiah,Unknown,Unknown,R,,,,,,,D
922,Battle of Carchemish,c. 605 BC,Carchemish,Decisive Babylonian victory. End of Egyptian intervention in the Near East.,Necho II,"18,000","40,000",L,,,,,,,D
923,Battle of Hamath,c. 605 BC,Hama,Decisive Babylonian Victory,Nebuchadnezzar II,Much fewer,Unknown,R,,,,,,,V
924,Siege of Jerusalem (597 BC),c. 597 BC,Jerusalem,Babylonia takes and despoils Jerusalem; Babylonian victory,Jehoiakim,Unknown,Much fewer,L,,,,,,,D
925,Siege of Jerusalem (597 BC),c. 597 BC,Jerusalem,Babylonia takes and despoils Jerusalem; Babylonian victory,Nebuchadnezzar II,Much fewer,Unknown,R,,,,,,,V
926,Battle of Bi,597 BC,"Bi, near modern day Xingyang, Henan Province","Chu victory, hegemony of King Zhuang of Chu",Sunshu Ao,Unknown,Unknown,L,,,,,,,V
927,Battle of Bi,597 BC,"Bi, near modern day Xingyang, Henan Province","Chu victory, hegemony of King Zhuang of Chu",Xun Linfu,Unknown,Unknown,R,,,,,,,D
928,Siege of Jerusalem (587 BC),589 to 587 BC,Jerusalem,"Babylonian victory, destruction of Jerusalem, fall of Kingdom of Judah",Zedekiah,Unknown,Much fewer,L,,,,,,,D
929,Siege of Jerusalem (587 BC),589 to 587 BC,Jerusalem,"Babylonian victory, destruction of Jerusalem, fall of Kingdom of Judah",Nebuchadnezzar II,Much fewer,Unknown,R,,,,,,,V
930,Battle of Yanling,575 BC,"Yanling, Henan",Jin victory,King Gong of Chu,Unknown,Unknown,L,,,,,,,D
931,Battle of Yanling,575 BC,"Yanling, Henan",Jin victory,Duke Li of Jin,Unknown,Unknown,R,,,,,,,V
932,Battle of Pelusium (525 BC),May 525 BCE,"Pelusium, Egypt",Decisive Persian victory,Psamtik III,Unknown,Unknown,L,,,,,,,D
933,Battle of Pelusium (525 BC),May 525 BCE,"Pelusium, Egypt",Decisive Persian victory,Cambyses II,Unknown,Unknown,R,,,,,,,V
934,Battle of Oenophyta,457 BC,Oenophyta,Athenian victory,Myronides,Unknown,Unknown,L,,,,,,,V
935,Battle of Coronea (447 BC),447 BC,Coronea,Boeotian victory,Sparton,"1000 hoplites, others?",Unknown,L,,,,,,,V
936,Battle of Olpae,426 BC,Olpae,Athenian victory,Demosthenes (general),"5,000","10,000",L,,,,,,,V
937,Battle of Idomene,426 BC,Idomene,Athenian Victory,Demosthenes (general),"6,000","7,000",L,,,,,,,V
938,Battle of Eretria,September 411 BC,off the coast of Euboea,Spartan victory,Hegesandridas,"11,000","8,000",R,,,,,,,V
939,Battle of Munychia,404 BC or 403 BC,"Munychia hill, in Piraeus",Athenian exile victory,Critias,"1,000[citation needed]",Several thousand,R,,,,,,,D
940,Battle of Cunaxa,3 September 401 BC [1],"On the banks of the Euphrates near present-day Baghdad, Iraq","Tactical draw
Strategic victory for Artaxerxes II of Persia
Thousands of Greek mercenaries march home against opposition",Artaxerxes II of Persia,"Large force of Persian soldiers
10,400 mercenary hoplites
2,500 mercenary light infantry and peltasts
1,000 Paphlagonian cavalry
600 bodyguard cavalry
20 scythed chariots","40,000[2]",R,,,,,,,I
942,Battle of the Elleporus,389 BC,"Stilaro river, Calabria",Syracusan Victory,Dionysius I of Syracuse,"17,000","23,000",L,,,,,,,V
943,Battle of the Elleporus,389 BC,"Stilaro river, Calabria",Syracusan Victory,Heloris,"23,000","17,000",R,,,,,,,D
944,Battle of Tegyra,375 BC,"Near Orchomenus, Boeotia",Theban victory,Pelopidas,"1,000-1,800",300,L,,,,,,,V
945,Battle of Mount Gaurus,343/339 BC[note 1],"Mount Gaurus, near Cumae, Italy",Roman victory,Marcus Valerius Corvus,unknown,unknown,L,,,,,,,V
946,Battle of Suessula,343/339 BC[note 1],"Near Suessula, Italy",Roman victory,Marcus Valerius Corvus,unknown,unknown,L,,,,,,,V
947,Siege of Gaza,"October, 332 BC",Gaza,Macedonian victory.,Alexander the Great,"15,000 [1]","45,000",L,,,,,,,V
948,Battle of Megalopolis,331 BC,Megalopolis,Macedonian victory,Antipater,"20,000 Infantry
2,000 cavalry","40,000",L,,,,,,,V
949,Siege of the Sogdian Rock,327 BC,Sogdiana,Macedonian victory,Alexander the Great,Unknown,300,L,,,,,,,V
950,Siege of the Sogdian Rock,327 BC,Sogdiana,Macedonian victory,Spitamenes,300,Unknown,R,,,,,,,D
951,Battle of the Caudine Forks,321 BC,Caudine Forks (near Caudium),Roman Surrender,Titus Veturius Calvinus,Unknown,Unknown,L,,,,,,,D
952,Battle of the Caudine Forks,321 BC,Caudine Forks (near Caudium),Roman Surrender,Gaius Pontius,Unknown,Unknown,R,,,,,,,V
953,Siege of Rhodes (305 BC),305–304 BC,Rhodes island,Rhodian victory,Demetrius I of Macedon,"11,200","about 30,000",L,,,,,,,V
954,Battle of Tifernum,297 BC,"Città di Castello (Perugia, Umbria), Italy",Roman victory,Quintus Fabius Maximus Rullianus,"25,000","20,000",L,,,,,,,V
955,Battle of Sentinum,295 BC,"Sentinum (now near Sassoferrato, Marche, Italy)",Decisive Roman victory,Publius Decius Mus (consul 312 BC),"80,000-90,000","40,000",L,,,,,,,V
956,Battle of Arretium,283 BC,"Arretium (modern Arezzo), Tuscany, Italy",Gallic victory,Lucius Caecilius Metellus Denter,Unknown,Unknown,L,,,,,,,D
957,Battle of Arretium,283 BC,"Arretium (modern Arezzo), Tuscany, Italy",Gallic victory,Britomaris,Unknown,Unknown,R,,,,,,,V
958,Battle of Beneventum (275 BC),275 BC,"Beneventum (modern Benevento), Campania, Italy",Roman victory,Manius Curius Dentatus,Unknown,Unknown,L,,,,,,,V
959,Battle of Beneventum (275 BC),275 BC,"Beneventum (modern Benevento), Campania, Italy",Roman victory,Pyrrhus of Epirus,Unknown,Unknown,R,,,,,,,D
960,Battle of Tyndaris,257 BC,"Tindaris (modern Tindari), Sicily",Roman victory,Gaius Atilius Regulus,Unknown,Unknown,L,,,,,,,V
961,Battle of Tyndaris,257 BC,"Tindaris (modern Tindari), Sicily",Roman victory,Hamilcar,Unknown,Unknown,R,,,,,,,D
962,Battle of Tunis,255 BC,Tunis,Carthaginian victory,Marcus Atilius Regulus,"12,000 Infantry
4,000 Cavalry
100 Elephants","15,000 Infantry
500 Cavalry",L,,,,,,,D
964,Battle of Faesulae,225 BC,"Faesulae, Italy",Gallic victory,Lucius Aemilius Papus,"~10,000",,L,,,,,,,D
965,Siege of Syracuse (214–212 BC),214–212 BC,Syracuse,Roman victory,Marcus Claudius Marcellus,"21,000","18,000 Infantry 2,000 cavalry",L,,,,,,,V
966,Siege of Syracuse (214–212 BC),214–212 BC,Syracuse,Roman victory,Epicydes,"18,000 Infantry 2,000 cavalry","21,000",R,,,,,,,D
967,Battle of Tarentum (212 BC),212 BC,"Tarentum, Southern Italy",Carthaginian victory,Hannibal,"15,000","10,000",L,,,,,,,V
969,Battle of Tarentum (212 BC),212 BC,"Tarentum, Southern Italy",Carthaginian victory,Marcus Livius,"10,000","15,000",R,,,,,,,D
971,Battle of the Silarus,212 BC,"near Silarus River (modern Sele River), Italy","Carthaginian victory

Destruction of Roman force",Marcus Centenius Penula,"25,000-30,000","16,000",R,,,,,,,D
973,Battle of Herdonia,212 BC,"Herdonia (modern Ordona, Foggia), present-day Italy",Carthaginian victory,Flaccus,"20,000-30,000","18,000",R,,,,,,,D
974,Battle of Grumentum,207 BC,"Grumentum, present-day Italy",minor Roman victory,Hannibal,"6,000 infantry 600 cavalry","5,000",L,,,,,,,D
975,Battle of Jingxing,205 BC,"Jingxing Pass, Hebei",Decisive Han victory,Han Xin,"200,000","30,000",L,,,,,,,V
976,Battle of Tao River,205 BC,"Jingxing Pass, Hebei",Decisive Han victory,Han Xin,"200,000","30,000",L,,,,,,,D
977,Battle of Crotona,204 BC,"Crotone, Calabria, present-day Italy",Indecisive,Hannibal,four legions,unknown,L,,,,,,,I
978,Battle of Wei River,204 BC,"Weifang, Shandong",Han victory,Han Xin,"200,000","50,000",L,,,,,,,V
979,Battle of Bagbrades,203 BC,"Near Utica, North Africa",Roman victory,Scipio Africanus,"30,000",Unknown,L,,,,,,,V
980,Battle of Bagbrades,203 BC,"Near Utica, North Africa",Roman victory,Hasdrubal Gisco,Unknown,"30,000",R,,,,,,,D
981,Battle of Gythium,195 BC,"Gytheio in Mani, Greece.",Allied Victory,Dexagoridas,"About 50,000 men",,L,,,,,,,D
983,Battle of Carthage (c.149 BC),c. 149 BC – spring 146 BC,Carthage (near modern Tunis),"Decisive Roman victory
End of the Punic Wars
Destruction of Carthage's city and empire",Scipio Aemilianus,"400,000:
30,000 defenders,
366,000 civilians,
300 Elephants,
4,000 Cavalry[1]",Unknown,L,,,,,,,V
984,Battle of Noreia,112 BC,"Noreia, Noricum
(precise location unknown)",Cimbrian and Teuton victory,Gnaeus Papirius Carbo (consul 113 BC),"300,000","30,000",L,,,,,,,D
985,Siege of Athens and Piraeus (87 BC - 86 BC),"Autumn 87 BC - 1 March 86 BC (Athens), Spring 86 BC (Piraeus)","Athens, Greece",Roman Victory,Archelaus (general),"5 Roman Legions
20,000 Auxiliary[1]",Unknown,R,,,,,,,D
986,Siege of Massilia,"April 19-September 6, 49 BC",Massilia and Western Mediterranean Sea,"Caesarian Victory, Roman annexation of Massilia",Lucius Domitius Ahenobarbus (consul 54 BC),"15,000 - 3 Roman legions (XVII, XVIII, and XIX)","8,000",L,,,,,,,D
987,Battle of Utica (49 BC),49 BC,"Utica, North Africa
Coordinates: 37°03′28.6″N 10°03′45.35″E﻿ / ﻿37.057944°N 10.0625972°E﻿ / 37.057944; 10.0625972",Popular victory,Gaius Scribonius Curio,"12,000","11,000",L,,,,,,,V
988,Battle of Utica (49 BC),49 BC,"Utica, North Africa
Coordinates: 37°03′28.6″N 10°03′45.35″E﻿ / ﻿37.057944°N 10.0625972°E﻿ / 37.057944; 10.0625972",Popular victory,Publius Attius Varus,"11,000","12,000",R,,,,,,,D
989,Battle of Nicopolis (48 BC),48 BC,"Nicopolis
Coordinates: 40°18′N 37°50′E﻿ / ﻿40.300°N 37.833°E﻿ / 40.300; 37.833",Pontic victory,Gnaeus Domitius Calvinus,unknown,unknown,L,,,,,,,D
990,Battle of Nicopolis (48 BC),48 BC,"Nicopolis
Coordinates: 40°18′N 37°50′E﻿ / ﻿40.300°N 37.833°E﻿ / 40.300; 37.833",Pontic victory,Pharnaces II of Pontus,unknown,unknown,R,,,,,,,V
991,Battle of the Nile (47 BC),47 BC,Nile Delta,Roman victory,Julius Caesar,"c. 20,000","20,000",L,,,,,,,V
992,Battle of the Nile (47 BC),47 BC,Nile Delta,Roman victory,Ptolemy XIII Theos Philopator,"20,000","c. 20,000",R,,,,,,,D
993,Battle of Zela,"August 2, 47 BC","Zile, present day Turkey",Decisive Roman victory,Pharnaces II of Pontus,"10,960","20,000",R,,,,,,,D
994,Battle of Mutina,"April 21, 43 BC",Northern Italy,"Tactical Republican victory, Strategic Mark Antony victory (Antony prevents encirclement of his forces, the enemy consul was killed), Octavian and the Republic sign a treaty with Antony",Mark Antony,"45,000","20,000",R,,,,,,,D
995,Second Battle of Philippi,"October 3 and 23, 42 BC","Philippi, Macedonia (modern Greece)",Decisive Second Triumvirate victory; end of the Liberators' civil war,Mark Antony,"17 legions,
allied cavalry 17,000;
total about 100,000 men,
up to 187,000 troops if auxiliary numbers matched legionary numbers","19 legions,
allied cavalry 33,000;
total over 100,000 men,
up to 223,000 troops if auxiliary numbers matched legionary numbers",L,,,,,,,V
996,Second Battle of Philippi,"October 3 and 23, 42 BC","Philippi, Macedonia (modern Greece)",Decisive Second Triumvirate victory; end of the Liberators' civil war,Marcus Junius Brutus the Younger,"19 legions,
allied cavalry 33,000;
total over 100,000 men,
up to 223,000 troops if auxiliary numbers matched legionary numbers","17 legions,
allied cavalry 17,000;
total about 100,000 men,
up to 187,000 troops if auxiliary numbers matched legionary numbers",R,,,,,,,D
997,Battle of the Lupia River,11 BC,"Lower Lippe River,  Germany",Roman victory,Nero Claudius Drusus,unknown,unknown,L,,,,,,,V
998,Battle of the Weser River,16 AD,"On the Weser River, Germania",Roman victory,Arminius,"8 legions
Gallic and Germanic Auxiliaries
2 Praetorian cohorts[1]",Unknown,R,,,,,,,D
999,Battle of the Medway,43 (0043),"A river in south eastern England, probably in Kent",Roman victory,Aulus Plautius,"150,000","45,000",L,,,,,,,V
1000,Battle of the Medway,43 (0043),"A river in south eastern England, probably in Kent",Roman victory,Togodumnus,"45,000","150,000",R,,,,,,,D
1001,Battle of Caer Caradock,50 AD (0050),Unknown. Possibly Herefordshire Beacon or Caer Caradoc Hill,Decisive Roman victory,Caratacus,"21,000 Legio IX Hispana Legio XX Valeria Victrix",unknown,R,,,,,,,D
1002,Battle of Watling Street,AD 60 or 61,Watling Street,"Decisive Roman victory

End of Boudica's revolt
Roman rule secured",Gaius Suetonius Paulinus,"Dio claims 230,000;[1] Plus women, children and non-combatants","10,000",L,,,,,,,V
1009,Siege of Jerusalem (70),"February – August 3, 70 CE","Jerusalem, Judaea
31°46′41″N 35°14′9″E﻿ / ﻿31.77806°N 35.23583°E﻿ / 31.77806; 35.23583Coordinates: 31°46′41″N 35°14′9″E﻿ / ﻿31.77806°N 35.23583°E﻿ / 31.77806; 35.23583","Roman victory

Main rebel Judean forces subdued.
Temple of Jerusalem destroyed.",Titus,"20,000–30,000","70,000",L,,,,,,,V
1012,Battle of Yiwulu,"February, 73","Kumul, Xinjiang",Han victory,Huyan,"12,000 cavalries (Han regulars with Qiang and Southern Xiongnu auxiliaries)",Unknown,L,,,,,,,D
1013,Battle of Adamclisi,Winter of 101 to 102,"Adamclisi, Dobruja, Romania",Decisive Roman victory,Trajan,"around 15,000 Sarmatians and Dacians[citation needed]",unknown,R,,,,,,,V
1014,Battle of Sarmizegetusa,106,"Transylvania, Romania","Decisive Roman victory, part of Dacia annexed to the Roman Empire",Trajan,"18,000-20,800",unknown,R,,,,,,,V
1015,Battle of Yan Province,194–195 CE,Yan Province (covering present-day southwestern Shandong and eastern Henan),"Indecisive, Lü Bu retreated",Cao Cao,"over 10,000",,L,,,,,,,I
1016,Siege of Jicheng,213 CE,"Gangu County, Gansu, China",Ma Chao victory,Yang Ang,"1,000[1]","10,000[1]",L,,,,,,,V
1017,Battle of Nisibis (217),217,"Nisibis, Southern Armenian Highland",Draw[1],Artabanus IV of Parthia,Unknown,Unknown,L,,,,,,,I
1018,Battle of Nisibis (217),217,"Nisibis, Southern Armenian Highland",Draw[1],Macrinus,Unknown,Unknown,R,,,,,,,I
1019,Battle of Shiting,228 CE,"Shiting (present-day Qianshan County, Anhui), Yang Province, China",Eastern Wu victory,Lu Xun (Three Kingdoms),"100,000","30,000",L,,,,,,,V
1020,Battle of Shiting,228 CE,"Shiting (present-day Qianshan County, Anhui), Yang Province, China",Eastern Wu victory,Cao Xiu,"30,000","100,000",R,,,,,,,D
1021,Siege of Chencang,December 228 – Spring of 229 CE,"Chencang District, Shaanxi, China","Tactical Wei victory, Strategical Shu Han victory.",Zhuge Liang,"~1,000",Unknown,R,,,,,,,D
1022,Battle of Wuzhang Plains,April – Autumn of 234 CE,"Wuzhang Plains, Shaanxi, China",Inconclusive; Shu Han retreat,Zhuge Liang,"200,000","100,000",R,,,,,,,I
1023,Battle of Philippopolis (250),250 AD,"Philippopolis, Roman Thrace (Plovdiv,  Bulgaria)",Gothic victory,Cniva,unknown,unknown,L,,,,,,,V
1024,Battle of Abrittus,"July or August, 251","Abritus, Moesia Inferior
(modern-day Razgrad, Bulgaria)",Gothic victory,Decius,unknown,unknown,L,,,,,,,D
1025,Battle of Barbalissos,253,"Barbalissos, Mesopotamia",Sassanid victory[1],Shapur I,"60,000[2]",Unknown,L,,,,,,,V
1027,Battle of Edessa,AD 260,"Edessa, Osroene (southern Turkey)",Decisive Sasanian victory,Shapur I,"70,000[1] (including Praetorian Guards)",Unknown (including grivpanvar and light horse archers),L,,,,,,,V
1028,Battle of Naissus,268 or 269,Naissus (Niš in present-day Serbia),Decisive Roman victory,Gallienus,unknown,unknown,L,,,,,,,V
1030,Battle of Satala (298),298,Unknown - possibly Basean region of Armenia,"Decisive Roman victory:
Treaty of Nisibis",Galerius,Unknown,Unknown,L,,,,,,,V
1031,Battle of Satala (298),298,Unknown - possibly Basean region of Armenia,"Decisive Roman victory:
Treaty of Nisibis",Narseh,Unknown,Unknown,R,,,,,,,D
1033,Battle of Turin (312),312,Turin,Constantinian victory,Constantine the Great,"100,000","40,000",L,,,,,,,V
1034,Battle of Tzirallum,30 April 313[1],"near Heraclea Perinthus[1]
41°09′N 27°48′E﻿ / ﻿41.150°N 27.800°E﻿ / 41.150; 27.800Coordinates: 41°09′N 27°48′E﻿ / ﻿41.150°N 27.800°E﻿ / 41.150; 27.800",Licinius is victorious,Licinius,"70,000[1]","30,000[1]",L,,,,,,,V
1035,Battle of Tzirallum,30 April 313[1],"near Heraclea Perinthus[1]
41°09′N 27°48′E﻿ / ﻿41.150°N 27.800°E﻿ / 41.150; 27.800Coordinates: 41°09′N 27°48′E﻿ / ﻿41.150°N 27.800°E﻿ / 41.150; 27.800",Licinius is victorious,Maximinus II,"30,000[1]","70,000[1]",R,,,,,,,D
1036,Battle of Mardia,late 316 or early 317,"the basin of Ardas River, Greece or Harmanli, Bulgaria",Constantinian victory,Constantine the Great,unknown,unknown,L,,,,,,,V
