,Battle,Date,Location,Result,belligerent,inflicted,opp,own,pos,taken,VorD
6957,Gulf_War,"Invasion of Kuwait
2–4 August 1990
Operation Desert Storm
17 January – 28 February 1991
(1 month, 1 week and 4 days)","Iraq, Kuwait, Saudi Arabia, Israel and Persian Gulf","Coalition victory

Iraq expelled from Kuwait
Kuwaiti monarchy restored
Destruction of Iraqi and Kuwaiti infrastructure
Failed Shia/Kurdish uprisings against the Iraqi government
Iraqi Kurdistan obtains autonomy, establishment of the northern Iraq no fly zone by the US
Saddam Hussein retains power
UN sanctions against Iraq maintained until 2003
United Nations Security Council Resolution 687 establishes cease-fire terms, beginning of the Iraq disarmament controversies",George H. W. Bush,"Iraqi:
20,000–35,000 killed
75,000+ wounded[7]
3,700 tanks destroyed[20]
2,400 APCs destroyed[20]
2,600 Artillery Pieces destroyed[20]
110 Aircraft destroyed[18]
137 Aircraft escaped to Iran[18]
19 naval ships sunk, 6 damaged[18]","650,000 soldiers","956,600, including 700,000 US troops[5][6]",L,"Coalition:
292 killed (147 killed by enemy action, 145 non-hostile deaths)
467 wounded in action
776 wounded[7]
31 Tanks destroyed/disabled[8][9][10][11][12][13] [14][15]
32 Bradley IFVs destroyed/damaged
[16][17]
1 M113 APC destroyed
2 British Warrior APCs destroyed
1 Artillery Piece destroyed
75 Aircraft destroyed[18]
Kuwait:
4,200 killed
12,000 captured
≈200 tanks destroyed/captured
850+ other armored vehicles destroyed/captured 57 aircraft lost
At least 8 aircraft captured (Mirage F1s)
17 ships sunk, 6 captured[19]",
6984,Battle_of_the_Bridges,"August 2, 1990","West of Al Jahra
29°20′23″N 47°36′54″E﻿ / ﻿29.33972°N 47.61500°E﻿ / 29.33972; 47.61500","Iraqi victory

Kuwaiti withdrawal",Brigadier general,,"Elements of 35th Brigade
7th Tank Bn, 3 Coy
(26 Chieftains)
8th Tank Bn, 3rd Coy
(10 Chieftains)
57th Mech Inf Bn, 1 Coy
(5 BMP-2s & several M113s)
51st Art Bn, 1 Bty (7 M109A2s)
Antitank Coy (M901 ITVs)","Elements of 1st Republican Guard Corps
Elements of 1st Hammurabi Mech Div.
Elements of 2nd al-Medinah al-Munawera Armoured Div.",L,,
6987,Battle_of_Khafji,"29 January – 1 February 1991
(3 days)","Khafji, Eastern Province, Saudi Arabia
28°25′N 48°30′E﻿ / ﻿28.417°N 48.500°E﻿ / 28.417; 48.500Coordinates: 28°25′N 48°30′E﻿ / ﻿28.417°N 48.500°E﻿ / 28.417; 48.500","Coalition victory

Coalition recaptures Khafji after two-day Iraqi occupation",Khalid bin Sultan,"Iraqi claims:
71 dead, 148 wounded, 702 missing, 186 armored vehicles destroyed
Coalition estimate:
60–300 dead
400 captured
90 armored vehicles destroyed[2][3]",unknown,unknown,L,"Iraqi claims:
4 helicopters shot down
30 tanks destroyed
58 armored personnel carriers destroyed
13 armored personnel carriers captured
Coalition estimate:
43 dead
52 wounded
2 captured[2][3]
9-12 armored vehicles
1 AC-130 shot down",
6999,Liberation_of_Kuwait,24–28 February 1991,"Kuwait, Iraq, Persian Gulf","Coalition victory

Kuwait liberated from Iraqi occupation",Saddam Hussein,"1,155 casualties[citation needed]
70 POWs[citation needed][dubious – discuss]","Around 650,000[citation needed][dubious – discuss]","Around 500,000[citation needed]",L,"Between 20,000 – 35,000 casualties[citation needed][dubious – discuss]
Around 150,000 POWs[citation needed][dubious – discuss]",
7006,Battle_of_73_Easting,26–27 February 1991,"Southeastern Iraq
29°32′41″N 46°37′33″E﻿ / ﻿29.54472°N 46.62583°E﻿ / 29.54472; 46.62583Coordinates: 29°32′41″N 46°37′33″E﻿ / ﻿29.54472°N 46.62583°E﻿ / 29.54472; 46.62583",Decisive Coalition victory,Norman Schwarzkopf Jr.,"600–1,000 killed and wounded
1,300+ prisoners[4]
160 tanks
180 personnel carriers
12 artillery pieces
80 wheeled vehicles
several anti-aircraft artillery systems[5]",unknown,unknown,L,"1 killed
3 wounded
1 Bradley from enemy fire.[3]
1 Bradley from friendly fire.[3]",
7012,Battle_of_Medina_Ridge,"February 27, 1991","Southwest of Basra, Iraq
30°10′27″N 46°56′6″E﻿ / ﻿30.17417°N 46.93500°E﻿ / 30.17417; 46.93500Coordinates: 30°10′27″N 46°56′6″E﻿ / ﻿30.17417°N 46.93500°E﻿ / 30.17417; 46.93500",American victory,Norman Schwarzkopf Jr.,"Heavy casualties
839 soldiers captured
186 tanks destroyed
127 IFVs destroyed
72 artillery pieces destroyed[13]
118 trucks destroyed
5 air defense systems destroyed[14]",unknown,unknown,L,"Light casualties
2 killed
33 wounded
4 tanks destroyed/damaged
2 Bradley IFVs
1 ambulance
1 HEMTT fueler
2 Apache helicopters shot down
4 Humvees destroyed[11]
1 A-10 aircraft shot down[12][10]",
7027,Battle_of_the_Barracks,14 September – 23 November 1991,Croatia,Croatian victory,Anton Tus,"Unknown casualties
Captured:
250 tanks
400–500 artillery pieces
36 naval vessels
180,000 small arms",unknown,unknown,L,Unknown,
7058,Battle_of_Mogadishu_(1993),"3–4 October 1993
(1 day)","Mogadishu, Somalia","Pyrrhic tactical U.S./U.N. victory;[2][3][4]
Strategic SNA victory

U.S. withdraws 25 March 1994
U.N. withdraws 28 March 1995",William F. Garrison,"SNA Militia and civilians
200–315 killed (per ICRC)[7][8]
300–500 killed (per U.N.)[9]
315 killed (133 militiamen), 812 wounded (per SNA)[8][10]
350 killed, 500 wounded (per U.S.)[9]
500 killed (per neutral Somalis)[9]","4,000–6,000 militiamen and volunteer fighters","Initially: 160 men
12 vehicles (9 Humvees, 3 M939 trucks)
19 aircraft (16 helicopters – 8 Black Hawks and 8 Little Birds)",L,"U.S.
19 killed, 73 wounded, 1 captured
2 UH-60 Black Hawks shot down[5][6]
Malaysia
1 killed, 7 wounded
Pakistan
1 killed, 2 wounded",
7108,Battle_of_Košare,9 April–10 June 1999,"Košare, Kosovo, FR Yugoslavia (FR Yugoslav-Albanian border)","Tactical Yugoslav victory

Strategic stalemate
Kumanovo Treaty
NATO suspensions of air sorties",Nebojša Pavković,112 killed (excluding 67 killed by NATO's friendly fire)[6][7],"6,000 insurgents","1,000 soldiers and volunteers
20 tanks[4]",L,108 killed[5],
7141,Battle of Nihriya,c. 1237 BC,Niḫriya,Assyrian victory,Tudḫaliya IV,,unknown,unknown,L,,
7157,Battle of Diyala River,693 BC,Nippur and Diyala River,Pyrrhic Assyrian victory,Mushezib-Marduk,,unknown,unknown,L,,
7159,Battle of Halule,691 BC,Babylonia,Battle was indecisive,Mushezib-Marduk,,unknown,unknown,L,,
7162,Battle of Deres,c. 684 BC?,Messenia,Disputed,Aristomenes,,unknown,unknown,L,,
7163,Battle of the Great Foss,c. 682 BC?,Peloponnesus,Decisive Spartan victory,Aristomenes,,unknown,unknown,L,,
7167,Battle of Hysiae (669 BC),circa. 669 BCE,"Hysiae, Argolis",Argive Victory,Pheidon II,,unknown,unknown,R,,
7168,Battle of Ulai,c. 653 BC,Karkheh River,Decisive Assyrian victory,Ashurbanipal,,unknown,unknown,L,,
7171,Fall of Ashdod,635 BC,"Ashdod, Palestine",Egypt takes Ashdod; Egyptian victory,Psamtik I,Unknown,Considerably fewer,Unknown,L,Unknown,
7181,Fall of Assur,614 BC[1],Assur,Decisive Median & Babylonian victory,Nabopolassar,Extermination of the city[1],Unknown,Unknown,L,Unknown,
7184,Battle of Nineveh (612 BC),612 BC,Nineveh,"Decisive allied victory
Destruction of Assyria's capital
Founding of Neo-Babylonian Empire
Assyrian Empire severely weakened",Sinsharishkun,Unknown,unknown,unknown,L,,
7190,Fall of Harran,609 BC,Harran,"Decisive Medo-Babylonian victory, end of Assyrian Empire",Nabopolassar,Unknown,Unknown,Unknown,L,Unknown,
7205,Battle of An,589 B.C.E.,"Hua Hill, Jinan
36°43′42.96″N 117°3′49.86″E﻿ / ﻿36.7286000°N 117.0638500°E﻿ / 36.7286000; 117.0638500","victory of the State of Jin, alliance between Jin and Qi",Duke Qing of Qi,,unknown,unknown,L,,
7209,Battle of Halys (585 BC),"May 28, 585 BC (supposedly)","Halys River (modern Kızılırmak River, Turkey) (supposedly)","Draw as the battle is interrupted by eclipse

Peace agreement",Alyattes of Lydia,,unknown,unknown,L,,
7247,Battle of Opis,"September 25 – September 28?, 539 BC","Opis, Babylonia",Decisive Persian victory.,Nabonidus,Unknown,unknown,unknown,L,Heavy?[2],
7257,Siege of Rome (509 BC),508 BC,Rome,Peace treaty,Publius Valerius Publicola,,unknown,unknown,L,,
7261,Siege of Rome (508 BC),508 BC,Rome,Peace treaty,Publius Valerius Publicola,,unknown,unknown,L,,
7265,Battle of Bai ju,506 BC,"Boju, State of Chu (present-day Macheng, Hubei Province)",Decisive Wu victory,Helü,Almost entire army killed or captured,"Between 200,000 and 300,000","Between 30,000 and 33,000",L,Unknown (relatively minor),
7273,Battle of Ephesus (498 BC),499–493 BC,Asia Minor and Cyprus,Decisive Persian victory.,Aristagoras,,unknown,unknown,L,,
7287,Battle of Lake Regillus,c. 496 BC,near Frascati (Rome),"Decisive Roman victory
End of Tarquinian attempts to retake the Roman throne",Aulus Postumius Albus Regillensis,,unknown,unknown,L,,
7293,Battle of Sepeia,494 BC,"Sepeia, Tiryns",Spartan victory,Cleomenes I,"6,000",unknown,unknown,L,,
7336,Siege of Byzantium (478 BC),499–449 BCi[›],"Mainland Greece, Thrace, Aegean Islands, Asia Minor, Cyprus and Egypt",Greek victory[2],Miltiades,,unknown,unknown,L,,
7355,Battle of Mons Algidus,c. 458 BC,"Algidus Mons, near Rome",Roman victory,Lucius Quinctius Cincinnatus,,unknown,unknown,L,,
7361,Siege of Prosoptis,477–449 BC,"Mainland Greece, Thrace Asia Minor, Cyprus, and Egypt","Delian League victory, Peace of Callias[1]",Pericles,,unknown,unknown,L,,
7367,Battle of Jinyang,"455 BC – May 8, 453 BC[1]","Taiyuan, Shanxi","Zhao victory, Zhi annihilated",Xiangzi of Zhi,,unknown,unknown,L,,
7369,Siege of Citium,477–449 BC,"Mainland Greece, Thrace Asia Minor, Cyprus, and Egypt","Delian League victory, Peace of Callias[1]",Pericles,,unknown,unknown,L,,
7375,Battle of Salamis (in Cyprus),477–449 BC,"Mainland Greece, Thrace Asia Minor, Cyprus, and Egypt","Delian League victory, Peace of Callias[1]",Pericles,,unknown,unknown,L,,
7387,Battle of Spartolos,429 BC,Chalcidice,Chalkidian victory,Xenophon (son of Euripides),no more than 315,"5,000 infantry, 400 cavalry","4,000 total",L,Over 430,
7400,Battle of Megara,424 BC,"Megara, Greece",Athenian victory.,Brasidas,,unknown,unknown,R,,
7410,Battle of Hysiae (417 BC),417 BC,"Hysiae, Argolis",Decisive Argive Defeat,Agis II,Entire male population of Hysiae executed,unknown,unknown,L,Low,
7446,Battle of Piraeus,403 BC,"Piraeus, Attica",Spartan victory,Thrasybulus,Unknown,unknown,unknown,L,Over 180 killed,
7463,Battle of Veii,c. 396 BC,"Veii, near Rome",Decisive Roman victory,Marcus Furius Camillus,,unknown,unknown,L,,
7464,Battle of Haliartus,395 BC,"Haliartus, Boeotia, present-day Greece",Theban victory,Lysander,,unknown,unknown,L,,
7473,Siege of Rhegium,386 BC,"Rhegium, Calabria",Syracusan victory,Dionysius I of Syracuse,,unknown,unknown,L,,
7474,Battle of Naxos,376 BC,Naxos,Athenian Victory,Chabrias,,unknown,unknown,L,,
7480,Battle of Cynoscephalae (364 BC),364 BC,Cynoscephalae,Theban victory,Pelopidas,,unknown,unknown,L,,
7482,Battle of Mantinea (362 BC),July 4 362 BC,"Mantinea, Arcadia","Theban tactical victory; Theban strategic defeat:

Both sides claim victory
Epaminondas killed
End of the Theban hegemony in Greece",Epaminondas,,unknown,unknown,L,,
7487,Battle of Crocus Field,353 or 352 BC,"Thessaly, Greece",Macedonian victory.,Philip II of Macedon,,unknown,unknown,L,,
7493,Battle of Pelusium (343 BC),343 BC,Pelusium,Persian victory,Nectanebo II,,"344,000
330,000 Persians
14,000 Greek Mercenaries[1]","120,000
100,000 Egyptians
20,000 Greek Mercenaries[1]",L,,
7507,Battle of Trifanum,340 BC,"unidentified, in Caserta province, Italy",Roman victory,Titus Manlius Torquatus (consul 347 BC),,unknown,unknown,L,,
7519,Battle of the Granicus,"May, 334 BC","Granicus River, Troad region, Hellespontine Phrygia, Achaemenid Empire (modern-day Biga Çayı, Turkey)",Macedonian victory,Petenes,"300 to 400 killed[3]
1,150–1,380 to 3,500–4,200 wounded[3]","32,000 infantry (12,000 Macedonians, 7,000 other Greeks, 5,000 mercenaries, 7,000 Odrysians, Triballians and Illyrians, and 1,000 archers)
5,100 cavalry (1,800 Macedonians, 1,800 Thessalians, 600 other Greeks, and 900 Thracians and Paeonians)
Total: 37,100","10,000-20,000 cavalry[1][2]
5,000-20,000 Greek hoplite mercenaries[1][2]
Total: 20,000-40,000",R,"3,000 infantry killed[4]
1,000 cavalry killed[4]
2,000 captured[4]",
7544,Siege of Tyre (332 BC),January–July 332 BC,"Tyre, Phoenicia (now Lebanon)
33°16′15″N 35°11′46″E﻿ / ﻿33.27083°N 35.19611°E﻿ / 33.27083; 35.19611",Macedonian victory,Alexander the Great,"8,000 killed or executed[2]
30,000 civilians enslaved[3]",unknown,unknown,L,400 killed[1],
7550,Battle of Pandosia,331 BC,"Near Pandosia, present-day Italy",Decisive Italic victory,Alexander I of Epirus,,unknown,unknown,L,,
7580,Battle of the Hydaspes,May 326 BC,"Hydaspes River, modern-day Punjab Province, Pakistan","Greek victory, annexation of kingdom of Punjab; Porus appointed Satrap (governor) of the new provinces.[1][2][3]",Alexander the Great,"12,000 killed and 9,000 captured,[18] or 20,000 infantry and 3,000 cavalry killed.[14]","20,000,[8] 30,000[9] or 50,000[10] infantry,
2,000[8] to 4,000[9] cavalry,
200,[9] 130[10] (""likeliest"" according to Green),[11] or 85[12] war elephants,
1,000 chariots.[13]","40,000 infantry,
5,000[5] to 7,000[6] cavalry,
Asiatic contingents[7]",L,"80[14]–700[15][16] infantry,
230[14]–280[15] cavalry killed. Modern estimates ~1000 killed.[17]",
7601,Battle of Lautulae,315 BC,"near Terracina, Italy",Samnite victory,Quintus Fabius Maximus Rullianus,,unknown,unknown,L,,
7609,Battle of Lake Vadimo (310 BC),310 BC,"Lake Vadimo, Italy",Roman Victory,Lucius Papirius Cursor,,unknown,unknown,L,,
7614,Battle of Bovianum,305 BC,"Boiano or Pietrabbondante, Italy",Decisive Roman victory [1],Tiberius Minucius Augurinus,,unknown,unknown,L,,
7626,Battle of Camerinum,298 BC,"Camerinum (modern Camerino), Italy",Samnite victory,Lucius Cornelius Scipio Barbatus,,unknown,unknown,L,,
7636,Battle of Lake Vadimo (283 BC),283 BC,"Lake Vadimo, Italy",Roman victory,Publius Cornelius Dolabella (consul 283 BC),,unknown,unknown,L,,
7637,Battle of Corupedium,281 BC,Near Sardis,Decisive Seleucid victory,Lysimachus,,unknown,unknown,L,,
7643,Battle of Thermopylae (279 BC),279 BC,Thermopylae,Gallic victory,Brennus (3rd century BC),,unknown,unknown,L,,
7644,Battle of Lysimachia,277 BC,"Lysimachia, Thracian Chersonese",Antigonid victory,Antigonus II Gonatas,,unknown,unknown,L,,
7646,Battle of Beneventum (275 BC),275 BC,"Beneventum (modern Benevento), Campania, Italy",Roman Victory,Manius Curius Dentatus,Unknown,Unknown,Unknown,L,Unknown,
7648,Battle of the Aous (274 BC),274 BC,near the Aous River,Epirote victory,Pyrrhus of Epirus,,unknown,unknown,L,,
7654,Battle of Cos,261/255 BC,Kos,Macedonian victory,Antigonus II Gonatas,,unknown,unknown,L,,
7660,Battle of the Lipara Islands,260 BC,"Lipara harbour, Sicily",Carthaginian victory,Boodes,17 ships captured,17 ships,20 ships,L,4 ships,
7665,Battle of Sulci,258 BC,"near Sulci, Sardinia",Roman victory,Gaius Sulpicius Paterculus,,unknown,unknown,L,,
7677,Battle of Tunis,255 BC,Tunis,Carthaginian victory,Marcus Atilius Regulus,800 dead (According to Polybios),"12,000 Infantry
4,000 Cavalry
100 Elephants","15,000 Infantry
500 Cavalry",L,"12,000 dead
500 captured",
7681,Battle of Drepana,249 BC,"Off Drepana (modern Trapani), Sicily",Carthaginian victory,Adherbal (admiral),93 ships captured or sunk,About 120 ships,About 120 ships,L,None,
7694,Battle of Dyme,226 BC,Dyme,Decisive Spartan victory,Cleomenes III,Heavy,unknown,unknown,L,Low,
7702,Battle of Clastidium,222 BC,"Clastidium, Italy",Roman victory,Marcus Claudius Marcellus,,unknown,unknown,L,,
7709,Siege of Saguntum,219 BC,"Saguntum, present-day Spain
39°40′37″N 0°16′48″W﻿ / ﻿39.677°N 0.280°W﻿ / 39.677; -0.280Coordinates: 39°40′37″N 0°16′48″W﻿ / ﻿39.677°N 0.280°W﻿ / 39.677; -0.280",Carthaginian victory,Hannibal,"Nearly the whole fighting force was killed
A number of civilian casualties",Unknown,Unknown,L,Heavy,
7714,Battle of the Trebia,"Winter solstice, December 218 BC","Trebbia River, present-day Italy",Carthaginian victory,Hannibal,"Approximately 26,000–28,000, up to 32,000 total casualties","42,000 men:
(18,000 Roman infantry, 20,000 Italian allies, 4,000 cavalry)","40,000 men:
(21,000 heavy infantry, 8,000 light infantry, 11,000 cavalry, 37 war elephants)",L,"4,000–5,000 infantry, some elephants",
7719,Battle of Lake Trasimene,24 June 217 BC,"Lake Trasimene, Italy",Carthaginian victory,Hannibal,"30,000

15,000 killed[5]
15,000 captured[3]","30,000 men[2]","55,000 men[1]",L,"1,500 killed (Polybius)[3]
2,500 killed and ""many"" dead from wounds (Livy)[4]",
7736,First Battle of Nola,216 BC,"Nola, present-day Italy",Stalemate,Hannibal,,unknown,unknown,L,,
7738,Battle of Dertosa,Spring 215 BC,"Tortosa, present-day Spain",Roman victory,Gnaeus Cornelius Scipio Calvus,Heavy,"29,000:
25,000 infantry,
4,000 cavalry,
20 Elephants","32,800:
30,000 infantry,
2,800 cavalry",L,Unknown,
7741,Second Battle of Nola,215 BC,"Nola, present-day Italy",stalemate,Hannibal,,unknown,unknown,L,,
7743,Battle of Cornus,Fall 215 BC,"Decimomannu, Sardinia",Roman victory,Titus Manlius Torquatus (dictator),"13,500 casualties; 12,000 killed and 1,500 captured.[1]","15,000 infantry,
1,500 cavalry + Sardinians (?) + Elephants (?)","20,000 infantry (2 Roman and 2 Allied Legions), 1,200 cavalry",L,unknown,
7746,Third Battle of Nola,214 BC,"Nola, present-day Italy",Stalemate,Hannibal,,unknown,unknown,L,,
7752,Battle of Tarentum (212 BC),212 BC,"Tarentum, Southern Italy","Carthaginian victory, Roman garrison withdraws to citadel",Hannibal,"13,000","15,000","10,000",L,"1,200",
7759,Battle of the Silarus,212 BC,"near Silarus River (modern Sele River), Italy","Carthaginian victory

Destruction of Roman force",Hannibal,"15,000 killed","16,000","25,000-30,000",L,Unknown,
